English,Tunisian
"Good evening, do you have Doliprane 1000mg, please?",مسالخير، بالله عندكم Doliprane 1000mg؟
"Yes, we do. How many boxes would you like?",Tunisian: إي، عنا. قدّاش من كرتونة تحب؟
"Just one, thank you.",كان واحد برك، يعيشك.
"Excuse me, I need a forklift operator to start unloading the pallets.",سمحني، حاشتي بـcariste باش يبدى يفرّغ الpalettes.
No problem. I will call one for you now. He'll be there in a few minutes.,ما ثماش مشكل. تاو نعيّطلك على واحد. بعد شوية يكون غادي.
"Hello, doctor. My son has had a nasty cough for three days, and his fever keeps coming back, especially at night.",عسلامة دكتور. ولدي عندو كحّة خايبة برشة من ثلاثة أيّام، وسخانتو كل مرّة ترجع، خاصة بالليل.
"Hello. Let's take a look. Has he had any other symptoms, like a runny nose or loss of appetite?",سلام. خلّينا نعاينو. عندو أعراض أخرين؟ كيما سيلان من خشمو ولا نقص في الشهية؟
"Yes, he's not eating well at all and seems very tired.",إي، ما ياكلش مليح بالكلّ ويبان عليه تعبان برشة.
I see. I'll need to check his chest and throat. Please have him sit up here.,فهمت. يلزمني نسمعلو صدرو ونشوفلو حلقو. خليه يقعد هوني فوق الطاولة.
Thank you for the proposal. The fee is higher than we budgeted. Can we refine the scope to focus only on the digital campaign for now?,مرسي على العرض. المعلوم أعلى من اللي حاطّينو في البوجي. نجمو نضيّقو النطاق ونركّزو كان على الحملة الديجيتال توا؟
"Certainly. If we remove the market research and PR components, I can reduce the fee by thirty percent.",بطبيعة. كان نحّيو دراسة السوق ومكوّنات ال-PR، نجم نهبّط السوم بثلاثين فالمية.
"That works for us. Let's start with the digital campaign, and if it's successful, we can engage you for the other services in the next phase.",هذا يمشي معانا. خلّينا نبدّاو بالcampagne digitale، وكان تنجّح نجمو نتعاملو معاكم على باقي الخدمات في الفاز الجاية.
A phased approach sounds smart. I will send you the revised scope and quote.,Tunisian: approche على مراحل تبان مدروسة. باش نبعثلك الscope المعدّل والdevis المعدّل.
"Besides raising prices, what is the ministry actually doing to encourage people to save energy? Are there any awareness campaigns or incentives?",ما غير الزيادة في الأسعار، شنوّة بالحقّ تعمل الوزارة باش تشجّع الناس يوفّرو في الطاقة؟ فمّا حملات تحسيس ولا تحفيزات؟
We have ongoing public awareness campaigns on television and social media. We are also promoting the use of energy-efficient appliances and exploring programs to encourage solar panel installation for homes.,عنا حملات تحسيسيّة متواصلة على التلفزة وعلى السوشيال ميديا. وزادة قاعدين نشجّعو على استعمال أجهزة توفّر في الطاقة، ونخدمو على برامج باش تشجّع تركيب panneaux solaires في الديار.
"Professor, I'm starting to prepare for my dissertation defense. Could you give me some guidance on the structure and what the jury will be looking for?",بروفيسور، بديت نحضّر للسوتنانس متاع التيز متاعي. تنجم تعطيني شوية توجيهات على الستركتور وشنوّة الجوري باش يلوجو عليه؟
"Certainly. Prepare a presentation of about 20 minutes focusing on your problem statement, methodology, and results. The jury will be most interested in the originality of your work and your ability to defend your technical choices during the question-and-answer session.",بطبيعة. حضّر بريزنتاسيون حوالي 20 دقيقة، تركّز فيها على المشكل متاعك، المنهجيّة، والنتايج. الجوري أكثر حاجة تهمّو هي الأوريجيناليتي في خدمتك وقدرتك تدافع على اختياراتك التقنية وقت السيانس متاع سؤال وجواب.
"So, we're proposing this new two-step approval for expense reports. What are your initial thoughts on this?",دونك، قاعدين نقترحو نظام موافقة جديد على زوز مراحل لتقارير المصاريف. شنوة رأيك الأوّلي في الحكاية؟
"I appreciate the goal of better oversight. However, a second approver might create delays for urgent purchases. Could we have an exception for amounts below a certain threshold?",نقدّر الهدف متاع رقابة أحسن. أمّا approver ثاني ينجم يسبّب تأخير في المشتريات المستعجلة. تنجمو تعملولنا إستثناء للمبالغ اللي تحت سقف معيّن؟
"My brother, your price is too high. The official price on the board this morning was 1.2 dinars.",يا خويا، سومك غالي برشة. السوم الرسمي على البلاكة الصباح كان 1.2 دينار.
"The official price is for standard quality. Look at this, it's first choice! It deserves a higher price.",السوم الرسمي راهو للنوعية standard. شوف هذا، premier choix! يستاهل سوم أعلى.
"First choice or not, we all have to follow the market rate. I cannot pay more than the posted price.",premier choix ولا لا، لازمنا الكلّنا نتبعو سومة السوق. ما نجمش نخلّص أكثر من السوم المعلّق.
"Okay, let's write down our demands. Number one has to be an immediate increase in the government-set price for milk.",أوكي، خلّينا نكتبو مطالبنا. أوّل نقطة يلزم تكون ترفيع فوري في السوم المسعّر من الدولة متاع الحليب.
And we must demand subsidies for animal feed. The cost is the root of the problem. Let's add that as point number two.,و يلزمنا نطالبو بدعم للأعلاف متاع الماشية. الكلفة هي أصل المشكل. خلّينا نزيدوها كنقطة نيمرو زوز.
Good. Price increase and feed subsidies. We'll type this up cleanly to hand to the governor.,Tunisian: باه. الزيادة في السوم والدعم متاع العلف. باش نكتبوها كيما يلزم، مرتّبة وواضحة، ونسلّموها للوالي.
"Excuse me, I have my report. Could you explain what this 'glucose' value means?",سمحني، عندي rapport متاعي. تنجم تفسّرلي شنيا يعني هالقيمة متاع 'glucose'؟
I see. So I should wait for the doctor's consultation. Thank you.,فهمت. يعني لازمني نستنى في الكونسلتاسيون متاع الطبيب. يعطيك الصحّة.
"I've reviewed the contract, and it looks good. I just want to confirm that deep cleaning of the carpets is included quarterly, as we discussed.",قريت الcontrat و يبان باهي. نحب نأكّد برك اللي التنظيف المعمّق للزرابي داخل كل 3 شهور، كيف ما حكينا.
"Yes, absolutely. That is covered under section three. We will schedule the first one at the end of this quarter.",إي، بطبيعة. هاذا داخل في الفصل الثالث. باش نبرمجو أوّل واحد في آخر الtrimestre هذا.
"Perfect. In that case, we are ready to sign. Please send over the final version.",Tunisian: ممتاز. في الحالة هاذي، إحنا حاضرين باش نوقّعو. ابعثلنا الversion النهائيّة.
"Doctor, I would like to talk about birth control. What are my options and which one would be best for me?",دكتور، نحب نحكي معاك على منع الحمل. شنيا الخيارات اللي عندي وشنيا اللي يصلح ليّ أكثر؟
"Of course. We have several options, from the pill to the IUD. To find the right fit, let's talk about your health history and lifestyle.",بطبيعة. عنا برشة طرق، من الحباية حتى للّولب. باش نلقاو اللي يناسبك، خلّينا نحكيو على تاريخك الصحي وطريقة عيشتك.
That meeting with the student's father was very difficult. He was completely on the defensive and wouldn't listen to a word the teacher said.,الmeeting مع بو التلميذ كان صعيب برشة. هو كان ديما يدافع على روحو وما حبّش يسمع حتى كلمة قالها الأستاذ.
"I heard. We did our best. Let's document everything and for the next meeting, we will make sure the teacher is present as well.",سمعت. عملنا قدّ ما نجمنا. خلينا نوثّقو كل شي وفي الاجتماع الجاي باش نتأكدو اللي الأستاذ حاضر زادة.
That's a good idea. Having another person in the room might help to calm things down.,فكّرة باهية. وجود حدّ آخر في البيت ينجم يعاون باش يهدّي الجوّ شوية.
"From the day I submit a complete application, how long does it typically take to get the final approval?",تونسي: من نهار نقدّم دوسي كامل، قدّاش عادة يلزم وقت باش تجي الموافقة النهائية؟
"The processing timeline can take several months. It depends on the volume of applications and the review by the commission, so a bit of patience is needed.",المدّة متاع المعالجة تنجم تاخو كم شهر. هذا يرجع لعدد الدوسيات ولمراجعة اللجنة، يلزم شوية صبر.
Good morning. I am ready to unload. Which loading bay should I go to?,صباح الخير. أنا حاضر باش نفرّغ. لأنهي رامب نمشي؟
